english,french,ipa
I,je,/ʒə/
you,tu (informal),/ty/
you,vous (formal),/vu/
we,nous,/nu/
you,vous,/vu/
this,ceci,/sə.si/
that,cela,/sə.la/
here,ici,/i.si/
there,là,/la/
who,qui,/ki/
what,quoi,/kwa/
where,où,/u/
when,quand,/kã/
how,comment,/kɔ.mã/
not,ne pas,/nə ... pɑ/
all,tout,/tu/
many,beaucoup,/bo.ku/
some,quelques,/kelk/
few,peu,/pø/
other,autre,/otʁ/
one,un,/œ̃/
two,deux,/dø/
three,trois,/tʁwɑ/
four,quatre,/katʁ/
five,cinq,/sɛ̃k/
big,grand,/ɡʁã/
long,long,/lõ/
wide,large,/laʁʒ/
thick,épais,/epɛ/
heavy,lourd,/luʁ/
small,petit,/pəti/
short,court,/kuʁ/
narrow,étroit,/etʁwa/
thin,mince,/mɛ̃s/
woman,femme,/fam/
man (adult male),homme,/ɔm/
man (human being),homme,/ɔm/
child,enfant,/ɑ̃fɑ̃/
wife,femme, épouse,/fam/, /epuz/
husband,mari, époux,/maʁi/, /epu/
mother,mère,/mɛʁ/
father,père,/pɛʁ/
animal,animal,/animal/
fish,poisson,/pwasõ/
bird,oiseau,/wazo/
dog,chien,/ʃjɛ̃/
louse,pou,/pu/
snake,serpent,/sɛʁpɑ̃/
worm,ver,/vɛʁ/
tree,arbre,/aʁbʁ/
forest,forêt,/fɔʁɛ/
stick,bâton,/bɑtɔ̃/
fruit,fruit,/fʁɥi/
seed,graine,/ɡʁɛn/
leaf,feuille,/fœj/
root,racine,/ʁasin/
bark (of a tree),écorce,/ekɔʁs/
flower,fleur,/flœʁ/
grass,herbe,/ɛʁb/
rope,corde,/kɔʁd/
skin,peau,/po/
meat,viande,/vjɑ̃d/
blood,sang,/sɑ̃/
bone,os,/ɔs/
fat (noun),graisse,/ɡʁɛs/
egg,œuf,/œf/
horn,corne,/kɔʁn/
tail,queue,/kø/
feather,plume,/plym/
hair,cheveux,/ʃəvø/
head,tête,/tɛt/
ear,oreille,/ɔʁɛj/
eye,œil,/œj/
nose,nez,/ne/
mouth,bouche,/buʃ/
tooth,dent,/dɑ̃/
tongue (organ),langue,/lɑ̃ɡ/
fingernail,ongle,/ɔ̃ɡl/
foot,pied,/pje/
leg,jambe,/ʒɑ̃b/
knee,genou,/ʒənu/
hand,main,/mɛ̃/
wing,aile,/ɛl/
belly,ventre,/vɑ̃tʁ/
